,Name,Position1,Position2,Age,Matches,Starts,Mins,Goals,Assists
419,José Izquierdo,DF,MF,28,1,0,9,0,0
420,Reda Khadra,FW,FW,19,1,0,5,0,0
421,Jayson Molumby,MF,MF,20,1,0,1,0,0
422,Ashley Westwood,MF,MF,30,38,38,3410,3,3
423,James Tarkowski,DF,DF,27,36,36,3240,1,0
424,Dwight McNeil,MF,MF,20,36,34,3069,2,5
425,Matthew Lowton,DF,DF,31,34,34,3060,1,1
426,Nick Pope,GK,GK,28,32,32,2880,0,0
427,Josh Brownhill,MF,MF,24,33,32,2813,0,1
428,Chris Wood,FW,FW,28,33,32,2741,12,3
429,Ben Mee,DF,DF,30,30,30,2693,2,0
430,Charlie Taylor,DF,DF,26,29,28,2426,0,1
431,Jóhann Berg Guðmundsson,MF,MF,29,22,16,1363,2,0
432,Matěj Vydra,FW,FW,28,28,15,1371,3,2
433,Jack Cork,MF,MF,31,16,15,1350,0,0
434,Ashley Barnes,FW,FW,30,22,15,1331,3,0
435,Erik Pieters,DF,MF,31,20,13,1266,0,1
436,Jay Rodriguez,FW,MF,31,31,12,1265,1,2
437,Robbie Brady,MF,MF,28,19,12,1052,1,1
438,Kevin Long,DF,DF,29,8,7,637,0,0
439,Bailey Peacock-Farrell,GK,GK,23,4,4,360,0,0
440,Phil Bardsley,DF,DF,35,4,3,274,0,0
441,Jimmy Dunne,DF,DF,22,3,3,270,1,0
442,Dale Stephens,MF,MF,31,7,3,261,0,0
443,Josh Benson,MF,MF,20,6,2,264,0,0
444,Will Norris,GK,GK,26,2,2,180,0,0
445,Joel Mumbongo,FW,FW,21,4,0,40,0,0
446,Lewis Richardson,FW,MF,17,2,0,4,0,0
447,Alphonse Areola,GK,GK,27,36,36,3240,0,0
448,Tosin Adarabioyo,DF,DF,22,33,33,2953,0,0
449,Ademola Lookman,FW,MF,22,34,31,2747,4,4
450,Ola Aina,DF,DF,23,31,31,2664,2,1
451,Joachim Andersen,DF,DF,24,31,30,2730,1,1
452,Andre-Frank Zambo Anguissa,MF,MF,24,36,29,2587,0,3
