,Name,Position1,Position2,Age,Matches,Starts,Mins,Goals,Assists
241,Abdoulaye Doucouré,MF,MF,27,29,29,2443,2,3
242,Mason Holgate,DF,DF,23,28,26,2287,1,0
243,Gylfi Sigurðsson,MF,MF,30,36,24,2253,6,5
244,Allan,MF,MF,29,24,23,2051,0,0
245,Yerry Mina,DF,DF,25,24,23,1937,2,0
246,James Rodríguez,FW,MF,29,23,21,1764,6,4
247,Séamus Coleman,DF,MF,31,25,18,1613,0,3
248,André Gomes,MF,MF,27,28,17,1570,0,1
249,Alex Iwobi,FW,DF,24,30,17,1542,1,2
250,Tom Davies,MF,MF,22,25,17,1423,0,1
251,Robin Olsen,GK,GK,30,7,7,630,0,0
252,Bernard,MF,FW,27,12,3,455,1,0
253,Fabian Delph,MF,DF,30,8,2,266,0,0
254,Anthony Gordon,FW,MF,19,3,1,88,0,0
255,Niels Nkounkou,DF,FW,19,2,1,81,0,0
256,Jonjoe Kenny,DF,DF,23,4,1,79,0,0
257,Joshua King,MF,FW,28,11,0,148,0,0
258,Cenk Tosun,FW,FW,29,5,0,48,0,0
259,João Virgínia,GK,GK,20,1,0,48,0,0
260,Moise Kean,FW,FW,20,2,0,15,0,0
261,Theo Walcott,FW,FW,31,1,0,13,0,0
262,Jean-Philippe Gbamin,MF,MF,24,1,0,12,0,0
263,Nathan Broadhead,MF,MF,22,1,0,3,0,0
264,Emiliano Martínez,GK,GK,27,38,38,3420,0,0
265,Matt Targett,DF,DF,24,38,38,3404,0,2
266,John McGinn,MF,MF,25,37,37,3330,3,5
267,Ollie Watkins,FW,FW,24,37,37,3328,14,5
268,Tyrone Mings,DF,DF,27,36,36,3194,2,2
269,Ezri Konsa,DF,DF,22,36,35,3196,2,0
270,Douglas Luiz,MF,MF,22,33,32,2781,0,2
271,Bertrand Traoré,FW,FW,24,36,29,2317,7,6
272,Matty Cash,DF,DF,22,28,28,2372,0,2
273,Jack Grealish,FW,MF,24,26,24,2185,6,10
274,Ross Barkley,MF,MF,26,24,18,1531,3,1
275,Anwar El Ghazi,FW,FW,25,28,17,1613,10,0
276,Trézéguet,FW,FW,25,21,12,1166,2,1
277,Marvelous Nakamba,MF,MF,26,13,9,749,0,0
278,Ahmed Elmohamady,DF,DF,32,14,8,839,0,0
279,Kortney Hause,DF,DF,25,7,7,630,1,0
280,Jacob Ramsey,MF,MF,19,22,6,626,0,0
281,Morgan Sanson,MF,MF,25,9,3,294,0,0
282,Conor Hourihane,MF,MF,29,4,3,225,1,1
283,Keinan Davis,FW,MF,22,15,1,277,1,1
284,Carney Chukwuemeka,FW,MF,16,2,0,20,0,0
285,Wesley Moraes,MF,FW,23,3,0,18,0,0
286,Neil Taylor,DF,DF,31,1,0,16,0,0
287,Jaden Philogene Bidace,FW,FW,18,1,0,1,0,0
288,Jonjo Shelvey,MF,MF,28,30,29,2617,1,3
289,Miguel Almirón,MF,FW,26,34,28,2429,4,1
290,Karl Darlow,GK,GK,29,25,25,2250,0,0
291,Federico Fernández,DF,DF,31,24,24,2079,0,0
292,Callum Wilson,FW,FW,28,26,23,2084,12,5
293,Joelinton,FW,MF,23,31,23,1983,4,2
294,Isaac Hayden,MF,DF,25,24,22,1942,0,0
295,Ciaran Clark,DF,DF,30,22,21,1891,1,0
296,Jamal Lewis,DF,DF,22,24,20,1837,0,1
297,Jamaal Lascelles,DF,DF,26,19,19,1625,2,0
298,Allan Saint-Maximin,FW,MF,23,25,19,1560,3,4
299,Jacob Murphy,DF,MF,25,26,17,1626,2,3
300,Jeff Hendrick,MF,MF,28,22,17,1422,2,1
301,Sean Longstaff,MF,MF,22,22,15,1412,0,1
302,Matt Ritchie,DF,MF,30,18,15,1350,0,2
303,Emil Krafth,DF,DF,25,16,14,1288,1,0
304,Paul Dummett,DF,DF,28,15,14,1255,1,0
305,Fabian Schär,DF,DF,28,18,13,1246,1,0
306,Martin Dúbravka,GK,GK,31,13,13,1170,0,0
307,Joe Willock,MF,MF,20,14,11,978,8,0
308,Javier Manquillo,DF,DF,26,13,10,825,0,0
309,Ryan Fraser,FW,MF,26,18,9,928,0,2
310,DeAndre Yedlin,DF,DF,27,6,5,436,0,0
311,Dwight Gayle,FW,MF,29,18,4,514,1,1
